atomname,geometry,variant,normalization,mu,sigma
op1,dist,0,220195.40,2.49,0.02
op1,angle,0,29018.45,2.54,0.02
op1,dihed,0,166793.73,-2.00,0.01
op2,dist,0,225306.21,2.49,0.02
op2,angle,0,151018.80,2.54,0.01
op2,dihed,0,158468.68,2.00,0.01
c5,dist,0,101163.45,1.41,0.02
c5,angle,0,150617.36,2.52,0.01
c5,dihed,0,18434.11,2.71,0.09
c5,dihed,1,1644.83,-2.12,0.27
c3,dist,0,249018.32,2.35,0.02
c3,angle,0,28466.77,2.49,0.01
c3,dihed,0,22271.91,1.56,0.08
c3,dihed,1,3756.05,2.58,0.12
c2,dist,0,375413.36,1.52,0.01
c2,angle,0,39055.77,1.27,0.02
c2,dihed,0,34161.62,0.04,0.06
c2,dihed,1,4287.73,-0.38,0.08
o2,dist,0,370338.78,1.41,0.01
o2,angle,0,112648.54,1.25,0.01
o2,angle,1,25264.07,1.20,0.01
o2,dihed,0,58056.65,1.64,0.03
o2,dihed,1,10930.44,2.54,0.02
o4,dist,0,157654.54,1.41,0.01
o4,angle,0,28562.04,2.52,0.01
o4,dihed,0,30503.25,-0.87,0.06
o4,dihed,1,5010.28,-1.28,0.06
buC6,dist,0,59650.32,1.76,0.01
buC6,angle,0,6368.67,2.19,0.02
buC6,dihed,0,3028.68,-0.11,0.15
buN1,dist,0,22345.26,1.36,0.02
buN1,angle,0,48444.51,2.10,0.01
buN1,dihed,0,44104.66,0.00,0.01
buC2,dist,0,77451.11,1.23,0.01
buC2,angle,0,6331.54,2.15,0.01
buC2,dihed,0,45573.56,-3.14,0.01
buO2,dist,0,72095.92,2.43,0.01
buO2,angle,0,44178.66,2.00,0.01
buO2,dihed,0,25304.00,-3.14,0.02
buN3,dist,0,22280.05,0.89,0.02
buN3,angle,0,20604.02,0.79,0.01
buN3,dihed,0,51568.02,-3.14,0.01
buC4,dist,0,77872.67,1.28,0.01
buC4,angle,0,50820.76,1.36,0.01
buC4,dihed,0,56989.11,-3.14,0.01
buO4,dist,0,73619.83,1.22,0.01
buO4,angle,0,37333.47,1.06,0.01
buO4,dihed,0,47576.23,-3.15,0.01
buC5,dist,0,72871.06,1.66,0.01
buC5,angle,0,6256.83,2.35,0.01
buC5,dihed,0,56024.73,-3.14,0.01
bcC6,dist,0,81797.68,1.76,0.01
bcC6,angle,0,7247.16,2.17,0.02
bcC6,dihed,0,3927.52,-0.37,0.13
bcN1,dist,0,86596.59,1.36,0.01
bcN1,angle,0,49585.43,2.14,0.01
bcN1,dihed,0,48903.67,0.00,0.01
bcC2,dist,0,86717.31,1.15,0.01
bcC2,angle,0,7163.71,2.09,0.01
bcC2,dihed,0,51185.45,-3.14,0.01
bcO2,dist,0,41106.14,2.38,0.01
bcO2,angle,0,47088.90,1.98,0.01
bcO2,dihed,0,45214.85,-3.14,0.00
bcO2,dihed,1,831.57,-3.12,0.01
bcN3,dist,0,84111.25,0.97,0.01
bcN3,angle,0,10252.76,0.73,0.01
bcN3,dihed,0,30695.38,-3.15,0.02
bcC4,dist,0,38688.48,1.25,0.01
bcC4,angle,0,8072.90,1.37,0.01
bcC4,dihed,0,60221.14,-3.14,0.01
bcN4,dist,0,87692.71,1.33,0.01
bcN4,angle,0,43536.17,1.08,0.01
bcN4,dihed,0,55693.07,-3.15,0.01
bcC5,dist,0,87540.12,1.67,0.01
bcC5,angle,0,6983.19,2.35,0.01
bcC5,dihed,0,61830.64,-3.14,0.01
baN9,dist,0,87983.10,1.16,0.01
baN9,angle,0,31251.91,1.31,0.01
baN9,dihed,0,46320.52,0.00,0.01
baC4,dist,0,79712.57,1.19,0.01
baC4,angle,0,6952.91,2.55,0.01
baC4,dihed,0,14925.88,-0.00,0.02
baN3,dist,0,92437.41,1.40,0.01
baN3,angle,0,60198.43,1.58,0.01
baN3,dihed,0,56722.94,0.00,0.01
baC2,dist,0,24246.08,1.22,0.02
baC2,angle,0,11165.54,0.53,0.00
baC2,angle,1,9272.88,0.52,0.00
baC2,dihed,0,54422.68,0.00,0.01
baN1,dist,0,84271.16,1.33,0.01
baN1,angle,0,7015.43,0.55,0.01
baN1,dihed,0,50268.68,-3.14,0.01
baC6,dist,0,82271.93,1.41,0.01
baC6,angle,0,10361.15,1.58,0.01
baC6,dihed,0,55629.20,-3.15,0.01
baN6,dist,0,23704.44,2.74,0.02
baN6,angle,0,51704.00,1.55,0.01
baN6,dihed,0,54401.47,-3.15,0.01
baC5,dist,0,82640.90,1.41,0.01
baC5,angle,0,6881.16,2.62,0.01
baC5,dihed,0,30413.70,-3.15,0.02
baN7,dist,0,92079.91,1.18,0.01
baN7,angle,0,36087.03,1.22,0.01
baN7,dihed,0,15329.38,-3.15,0.02
baC8,dist,0,78658.23,1.36,0.01
baC8,angle,0,6857.96,2.27,0.01
baC8,dihed,0,26980.22,-3.15,0.02
bgN9,dist,0,112075.26,1.16,0.01
bgN9,angle,0,53988.04,1.32,0.01
bgN9,dihed,0,54712.64,0.00,0.01
bgC4,dist,0,110512.97,1.20,0.01
bgC4,angle,0,8302.01,2.56,0.01
bgC4,dihed,0,28413.22,-0.00,0.02
bgN3,dist,0,101982.62,1.41,0.01
bgN3,angle,0,9796.17,1.57,0.01
bgN3,dihed,0,65667.25,0.00,0.01
bgC2,dist,0,29295.66,1.28,0.02
bgC2,angle,0,9689.12,0.55,0.01
bgC2,dihed,0,28915.31,-0.00,0.02
bgN2,dist,0,89755.02,2.63,0.01
bgN2,angle,0,51480.74,0.51,0.01
bgN2,dihed,0,59701.03,-0.00,0.01
bgN1,dist,0,91369.12,1.29,0.01
bgN1,angle,0,13508.70,0.56,0.01
bgN1,dihed,0,58378.67,-3.14,0.01
bgC6,dist,0,89999.91,1.48,0.01
bgC6,angle,0,8455.01,1.60,0.02
bgC6,dihed,0,64061.65,-3.15,0.01
bgO6,dist,0,28781.04,2.71,0.02
bgO6,angle,0,57989.32,1.54,0.01
bgO6,dihed,0,62466.96,-3.15,0.01
bgC5,dist,0,46030.76,1.41,0.01
bgC5,angle,0,8232.79,2.62,0.01
bgC5,dihed,0,71330.14,-3.15,0.01
bgN7,dist,0,116459.08,1.17,0.01
bgN7,angle,0,36218.34,1.20,0.01
bgN7,dihed,0,18548.02,-3.15,0.02
bgC8,dist,0,100233.40,1.36,0.01
bgC8,angle,0,8279.58,2.27,0.01
bgC8,dihed,0,28660.25,-3.15,0.02